account_id,bot_score,confidence,confidence_method,cluster_id,is_noise,likely_model,model_confidence,llm_phrase_density,typo_rate,naturalness_score,formality_variance,is_stealth_suspect,vocabulary_uniformity,structural_regularity,hedging_signature,temporal_contextual,cross_account_correlation
stealth_op_a_acct04,0.4915,0.6163101643649396,clustering,4,False,human,0.8820754716981132,0.1179,0.0295,0.5,0.000504,False,0.3515,0.4735,0.2532,0.8079,0.98
patriot_eagle_55,0.6785,0.59950441123286,clustering,3,False,human,1.0,0.0,0.0,0.25,0.001244,False,0.3562,0.8245,0.362,0.8863,0.9791
wkp_truth_seeker,0.6704,0.5925836513257781,clustering,3,False,human,1.0,0.0,0.0,0.25,0.000945,False,0.3445,0.806,0.3694,0.8987,0.9727
ai_progress_now,0.6473,0.581299242064435,clustering,0,False,human,1.0,0.0,0.0,0.5,0.008396,False,0.344,0.7959,0.3644,0.7759,0.986
claude_account_06,0.7271,0.5631105322609997,individual,-1,True,claude,0.7710949548358669,1.1538,0.0,0.25,0.560553,False,0.3743,0.8845,0.4157,0.9967,0.8472
innovate_first_tk,0.6181,0.5619262500886274,clustering,0,False,human,1.0,0.0,0.0,0.5,0.011769,False,0.3087,0.7573,0.3493,0.759,0.9877
RealTruth_News77,0.6954,0.5466811619493259,individual,-1,True,human,1.0,0.0,0.0,0.0,0.001261,False,0.3452,0.8274,0.4332,0.9328,0.9817
human_guichaves1989,0.5885,0.5428581731653338,individual,-1,True,human,1.0,0.0,0.0,0.5,0.001231,False,0.3806,0.6012,0.575,0.713,0.9722
stealth_op_d_acct04,0.5925,0.5308053818207459,clustering,5,False,human,0.9324324324324325,0.0676,0.0043,0.5,0.000988,False,0.3481,0.653,0.2772,0.9207,0.9866
stealth_op_d_acct00,0.5622,0.5153523138663668,clustering,5,False,human,0.925,0.075,0.0098,0.5,0.000304,False,0.3055,0.6364,0.2806,0.8215,0.9875
human_Lionheart_Lisa,0.6205,0.5073252060983889,individual,-1,True,human,0.8214285714285714,0.1786,0.0,0.25,0.002977,False,0.3585,0.7037,0.4179,0.8002,0.9886
free_think_ai,0.6427,0.5060775295759706,individual,-1,True,human,1.0,0.0,0.0,0.5,0.005936,False,0.3441,0.7722,0.3864,0.7932,0.9882
human_scunning16,0.5586,0.4934236188201308,individual,-1,True,human,1.0,0.0,0.0,0.25,0.004451,False,0.3957,0.6455,0.45,0.4803,0.9886
human_G_Will_Eye_Am,0.5153,0.48228056173114364,individual,-1,True,human,1.0,0.0,0.0,0.5,0.001008,False,0.4176,0.4251,0.4704,0.807,0.9765
human_nickpasculli,0.5001,0.4812492230057114,individual,-1,True,human,1.0,0.0,0.005,0.75,0.001715,False,0.4097,0.4694,0.4976,0.5551,0.9799
TechGuru_Sam42,0.6479,0.47969410862607326,individual,-1,True,human,0.8620689655172413,0.1379,0.0,0.25,0.001201,False,0.3231,0.813,0.3037,0.824,0.9656
human_StephanSDalal,0.5446,0.4788499976640592,individual,-1,True,human,1.0,0.0,0.0,0.25,0.000695,False,0.3577,0.6355,0.45,0.4685,0.9867
gadget_dave91,0.6337,0.4755314409793718,individual,-1,True,human,0.8214285714285714,0.1786,0.0,0.5,0.005973,False,0.3316,0.7939,0.3079,0.7643,0.9857
human_clarkhook,0.5764,0.47395239434634184,individual,-1,True,human,1.0,0.0,0.0,0.25,0.000762,False,0.4037,0.651,0.35,0.6722,0.9877
human_TiffanyHaverly,0.5381,0.4708556359066701,individual,-1,True,human,1.0,0.0,0.0,0.5,0.000329,False,0.379,0.4623,0.42,0.9464,0.9866
human_A_for_AdNauseam,0.5369,0.4596955643971022,individual,-1,True,human,1.0,0.0,0.0,0.5,0.016773,False,0.346,0.5783,0.4069,0.6476,0.9846
human_PastorMRobinson,0.5001,0.4525897527752396,individual,-1,True,human,1.0,0.0,0.0,0.5,0.002411,False,0.382,0.5053,0.4204,0.5599,0.986
human_tessabusenius,0.5055,0.4506933087185532,individual,-1,True,human,1.0,0.0,0.0,0.25,0.002095,False,0.3746,0.5359,0.41,0.5262,0.9806
stealth_op_b_acct00,0.5171,0.44722389505802856,individual,-1,True,human,1.0,0.0,0.0295,0.5,0.00065,False,0.3473,0.4962,0.3973,0.7725,0.9785
human_account_04,0.5894,0.44133814791719367,individual,-1,True,human,0.8333333333333334,0.1667,0.0484,0.75,0.008281,False,0.3683,0.8057,0.2432,0.4556,0.968
human_khartline,0.5592,0.42658555283341854,individual,-1,True,human,0.8507462686567164,0.1493,0.0,0.25,0.001216,False,0.4218,0.6272,0.2087,0.7497,0.9774
human_elias_rubin,0.5243,0.4263822972383373,individual,-1,True,human,0.8529411764705882,0.1471,0.0,0.75,0.009813,False,0.3502,0.5018,0.3139,0.8804,0.9873
stealth_op_a_acct01,0.5317,0.41941309303260244,individual,-1,True,human,0.9193548387096775,0.0806,0.0339,0.25,0.001142,False,0.3368,0.5759,0.2873,0.7541,0.9805
stealth_op_c_acct03,0.5063,0.41559232863825624,individual,-1,True,human,0.863013698630137,0.137,0.0089,0.5,0.000797,False,0.3654,0.4687,0.2979,0.8565,0.9819
stealth_op_b_acct03,0.5108,0.407799562994693,individual,-1,True,human,0.8963730569948186,0.1036,0.0146,0.5,0.001355,False,0.3692,0.4769,0.2618,0.8965,0.9729
human_polaroiddragons,0.5013,0.40696383447473594,individual,-1,True,human,1.0,0.0,0.0357,1.0,0.01158,False,0.3745,0.589,0.2714,0.486,0.954
stealth_op_a_acct02,0.5157,0.40620005677935533,individual,-1,True,human,0.9120234604105572,0.088,0.0254,0.5,0.001292,False,0.3286,0.5475,0.2755,0.7541,0.9821
stealth_op_b_acct01,0.5125,0.39533011090142123,individual,-1,True,human,0.9447513812154696,0.0552,0.0106,0.5,0.002376,False,0.3446,0.4935,0.2338,0.9176,0.9772
stealth_op_d_acct03,0.5,0.38491070386282145,individual,-1,True,human,0.908256880733945,0.0917,0.0067,0.5,0.000894,False,0.3206,0.5278,0.2359,0.7597,0.9818
human_account_08,0.4877,0.37977320360586986,individual,-1,True,human,0.8076923076923077,0.1923,0.0192,0.75,0.02318,False,0.3154,0.6019,0.2428,0.4556,0.9808
stealth_op_d_acct01,0.4769,0.37534089854515545,individual,-1,True,human,0.949238578680203,0.0508,0.0147,0.5,0.002191,False,0.3292,0.4483,0.2368,0.831,0.9834
stealth_op_a_acct00,0.4832,0.36718527702060905,individual,-1,True,human,0.9444444444444444,0.0556,0.0295,0.75,0.000888,False,0.2886,0.4552,0.2262,0.9167,0.9846
